x0,x1,mx0,mx1,v, active
0.319556,-0.300013,0.306362,-0.301351,-8.42555,1
-0.479967,0.515798,-0.490503,0.531049,-6.47492,1
-3.38876,-0.0959436,-3.38553,-0.115696,-7.4264,1
0.664062,-0.681207,0.671987,-0.679666,-7.885,1
-1.56169,-1.33124,-1.57096,-1.33969,-6.91577,1
0.185336,-0.0587444,0.180507,-0.0709991,-8.93309,1
-2.82429,-1.21244,-2.81049,-1.209,-7.38627,1
-2.25015,1.36048,-2.23598,1.37613,-7.12803,1
0.981811,0.896903,1.00172,0.905763,-6.86525,1
-2.84462,1.1899,-2.85076,1.17853,-7.2915,1
-0.0289892,0.00589807,-0.0226594,-0.0175136,-8.19654,1
1.32603,1.03395,1.31191,1.03787,-6.91393,1
-0.98073,-0.999924,-0.960491,-0.995198,-6.16335,1
-0.0610349,6.05811,-0.444395,5.72457,1.22266,0
0.661526,0.703504,0.660069,0.680396,-7.28149,1
-0.437715,-0.42289,-0.426064,-0.40347,-7.36692,1
2.40442,4.71601,2.4362,4.73595,1.42943,0
2.45381,-0.365794,2.44126,-0.397193,-6.93587,1
0.877144,-0.827439,0.872847,-0.832482,-6.96569,1
-2.04163,-1.41688,-2.03977,-1.4229,-7.51463,1
-3.36167,-0.498262,-3.35765,-0.474866,-7.16647,1
-3.13917,0.834241,-3.13992,0.858423,-8.25769,1
-0.963844,0.924987,-0.96833,0.922673,-7.37072,1
0.177486,-0.268857,0.201216,-0.190659,-8.09441,1
-3.52287,3.93436,-3.56504,3.64772,0.690806,0
-2.89303,-1.21845,-2.84602,-1.20138,0.0160537,0
1.70615,-0.996998,1.74506,-0.982762,-7.53251,1
-1.68279,1.38458,-1.68544,1.38842,-7.23723,1
-2.46981,1.34948,-2.4814,1.33428,-7.21343,1
0.393103,-5.2693,0.244039,-5.85966,1.01825,0
-2.90539,1.00901,-2.92399,1.01754,-7.55917,1
-6.55065,6.08568,-6.02913,5.69903,1.23492,0
1.08865,-0.964765,1.08867,-0.95561,-7.31328,1
-3.33693,0.429915,-3.33956,0.450984,-7.98185,1
-6.23361,-2.18193,-5.55206,-2.35716,1.81743,0
-3.18821,-0.768214,-3.1506,-0.796998,-6.64814,1
1.76187,1.06229,1.75543,1.0678,-8.03742,1
6.72611,-3.59839,6.27497,-3.53163,1.10108,0
-3.02004,-0.910088,-3.02004,-0.910088,-9.08296,1
1.96446,-1.00057,1.94843,-1.00054,-8.15503,1
0.383143,0.390872,0.393129,0.412473,-7.46998,1
-2.50117,-1.33245,-2.50117,-1.33245,-6.79104,1
2.31345,0.648652,2.29629,0.668813,-7.23014,1
1.33545,-1.0553,1.3521,-1.05197,-8.4966,1
-2.62065,1.28262,-2.59496,1.28081,-7.39254,1
-2.93123,-0.964165,-2.95966,-0.950816,-6.99345,1
1.49072,-1.06941,1.48452,-1.0691,-6.99183,1
0.482039,-0.489182,0.476114,-0.496271,-8.34258,1
-2.00093,1.44373,-1.99535,1.4378,-7.51022,1
-1.36694,1.28946,-1.37569,1.29248,-7.06808,1
