x0-0,x0-1,x1-0,x1-1
123.213,50.2722,50.2722,138.013
91.7311,44.8949,44.8949,33.079
132.305,-27.2915,-27.2915,29.879
101.079,-46.8965,-46.8965,95.2859
35.8182,-15.64,-15.64,63.9059
141.332,51.1433,51.1433,139.508
76.8891,-3.40112,-3.40112,58.58
74.667,-21.6305,-21.6305,61.6162
88.6197,-32.3715,-32.3715,38.4971
78.2315,-69.1226,-69.1226,135.663
140.211,-13.4187,-13.4187,43.5916
31.7597,-4.55879,-4.55879,80.8518
38.2226,-27.3915,-27.3915,42.1066
1,0,0,1
125.466,-22.4075,-22.4075,30.0209
100.099,-80.2279,-80.2279,87.6251
1,0,0,1
113.448,-51.2655,-51.2655,35.3804
48.1858,15.7418,15.7418,70.9262
43.1905,39.3402,39.3402,132.693
48.6959,12.9004,12.9004,73.3174
115.58,-55.1687,-55.1687,97.0822
117.655,67.1049,67.1049,63.0817
168.807,-4.82739,-4.82739,43.8097
1,0,0,1
1,0,0,1
74.7287,-4.71847,-4.71847,62.202
62.8035,4.32643,4.32643,52.4514
188.615,-20.0811,-20.0811,27.2132
1,0,0,1
56.3946,36.5843,36.5843,123.747
1,0,0,1
85.5222,-2.34387,-2.34387,59.0964
155.196,-5.68323,-5.68323,34.1129
1,0,0,1
35.8504,-11.1034,-11.1034,59.4751
45.6307,-2.73131,-2.73131,132.904
1,0,0,1
270.294,122.417,122.417,143.983
69.7262,-10.4364,-10.4364,98.8285
52.1734,2.48782,2.48782,58.3772
43.7689,5.63858,5.63858,55.9903
119.754,91.0616,91.0616,87.3797
74.908,-7.79969,-7.79969,166.238
61.8643,-17.3268,-17.3268,85.5273
40.1956,-49.9069,-49.9069,122.025
110.057,-9.16775,-9.16775,24.7927
83.1284,-33.4726,-33.4726,143.52
64.5845,8.69581,8.69581,76.4123
73.6121,0.421678,0.421678,44.6756
